"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72202012839","2025-01-01","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  73.9","24","  66.8","24","1017.4","22","016.5","20","  9.2","24","  3.7","23","  8.0","999.9","  84.0"," ","  68.0"," "," 0.01","G","999.9","000000"
"72202012839","2025-01-02","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  70.9","24","  57.2","24","1021.2","24","020.1","24"," 10.0","24","  5.3","24"," 11.1"," 19.0","  81.0"," ","  64.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-03","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  68.4","24","  57.0","24","1022.6","24","021.6","24"," 10.0","24","  4.5","24","  9.9","999.9","  78.1"," ","  60.1"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-04","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  63.2","24","  44.3","24","1023.7","24","022.7","24"," 10.0","24","  6.6","24"," 12.0"," 20.0","  77.0"," ","  55.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-05","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  64.1","24","  52.2","24","1023.6","24","022.6","24"," 10.0","24","  5.5","24"," 13.0"," 19.0","  75.0"," ","  55.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-06","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  71.3","24","  59.3","24","1018.0","24","017.0","24"," 10.0","24","  6.5","24"," 13.0"," 20.0","  80.1"," ","  55.9"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-07","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  64.2","24","  54.3","24","1017.5","18","016.0","24"," 10.0","24","  7.8","24"," 13.0"," 20.0","  80.1"," ","  57.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-08","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  58.1","24","  48.6","24","1020.8","24","019.9","24"," 10.0","24","  6.1","24"," 11.1"," 17.1","  72.0"," ","  51.1"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-09","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  57.9","24","  37.4","24","1019.8","24","018.8","24"," 10.0","24","  7.3","24"," 11.1"," 19.0","  72.0"," ","  48.9"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-10","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  60.0","24","  49.0","24","1017.5","24","016.7","24"," 10.0","24","  4.8","24"," 12.0"," 20.0","  73.0"," ","  48.9"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-11","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  68.5","24","  60.2","24","1014.0","24","013.0","24","  9.9","24","  6.0","24"," 14.0"," 29.9","  77.0"," ","  51.1"," "," 0.00","G","999.9","010000"
"72202012839","2025-01-12","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  65.0","24","  51.6","24","1017.5","24","016.3","24"," 10.0","24","  5.3","24","  9.9"," 15.9","  77.0"," ","  57.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-13","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  68.2","24","  56.8","24","1019.6","24","018.6","24"," 10.0","24","  4.0","24","  9.9"," 15.9","  79.0"," ","  57.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-14","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  70.5","24","  66.2","24","1020.3","19","019.5","24","  9.2","24","  4.8","24","  8.9","999.9","  79.0"," ","  57.9"," "," 0.00","G","999.9","010000"
"72202012839","2025-01-15","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  65.9","24","  54.4","24","1024.2","24","023.1","24"," 10.0","24","  7.4","24"," 13.0"," 19.0","  75.0"," ","  59.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-16","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  67.3","24","  55.4","24","1023.4","24","022.4","24"," 10.0","24","  5.1","24"," 11.1","999.9","  75.0"," ","  59.0"," "," 0.00","G","999.9","000000"
"72202012839","2025-01-17","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  67.4","24","  62.4","24","1019.9","20","019.0","24","  9.3","24","  4.6","24"," 12.0","999.9","  73.9"," ","  62.1"," "," 0.00","G","999.9","010000"
"72202012839","2025-01-18","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","  74.1","24","  69.1","24","1016.6","18","015.6","24","  8.8","24","  9.4","24"," 14.0"," 25.1","  82.0"," ","  64.9"," "," 0.63","G","999.9","010000"
